Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/28/2020,02/01/2020,10/24/2020,United States,Male,15-24 years,237,"18,768",311,84,27,488,
10/28/2020,02/01/2020,10/24/2020,United States,Male,18-29 years,603,"32,829",720,234,53,"1,135",
10/28/2020,02/01/2020,10/24/2020,United States,Male,25-34 years,"1,076","36,534","1,132",465,77,"1,811",
10/28/2020,02/01/2020,10/24/2020,United States,Male,30-49 years,"6,607","101,773","5,763","2,987",308,"9,636",
10/28/2020,02/01/2020,10/24/2020,United States,Male,35-44 years,"2,879","48,115","2,587","1,280",133,"4,297",
10/28/2020,02/01/2020,10/24/2020,United States,Male,45-54 years,"7,662","83,975","6,706","3,634",349,"11,009",
10/28/2020,02/01/2020,10/24/2020,United States,Male,50-64 years,"22,118","238,128","21,706","10,779",925,"33,775",
10/28/2020,02/01/2020,10/24/2020,United States,Male,55-64 years,"17,490","187,991","17,482","8,538",708,"26,993",
10/28/2020,02/01/2020,10/24/2020,United States,Male,65-74 years,"28,152","268,466","29,287","13,897",817,"44,201",
10/28/2020,02/01/2020,10/24/2020,United States,Male,75-84 years,"31,119","292,391","33,473","15,032",741,"50,183",
10/28/2020,02/01/2020,10/24/2020,United States,Male,85 years and over,"26,252","269,106","28,631","11,718",573,"43,652",
10/28/2020,02/01/2020,10/24/2020,United States,Female,All Ages,"97,405","1,113,840","98,177","41,895","3,267","156,566",
10/28/2020,02/01/2020,10/24/2020,United States,Female,Under 1 year,8,"5,843",51,1,8,66,
10/28/2020,02/01/2020,10/24/2020,United States,Female,0-17 years,45,"9,563",163,7,59,260,
10/28/2020,02/01/2020,10/24/2020,United States,Female,1-4 years,8,"1,037",40,1,17,64,
10/28/2020,02/01/2020,10/24/2020,United States,Female,5-14 years,14,"1,578",55,1,29,97,
10/28/2020,02/01/2020,10/24/2020,United States,Female,15-24 years,151,"6,548",198,54,28,322,
10/28/2020,02/01/2020,10/24/2020,United States,Female,18-29 years,341,"11,931",464,158,49,693,
10/28/2020,02/01/2020,10/24/2020,United States,Female,25-34 years,573,"15,158",702,268,75,"1,077",
10/28/2020,02/01/2020,10/24/2020,United States,Female,30-49 years,"3,107","53,219","3,390","1,390",263,"5,347",
10/28/2020,02/01/2020,10/24/2020,United States,Female,35-44 years,"1,383","24,922","1,521",611,117,"2,403",
10/28/2020,02/01/2020,10/24/2020,United States,Female,45-54 years,"3,588","49,482","4,019","1,674",236,"6,136",
10/28/2020,02/01/2020,10/24/2020,United States,Female,50-64 years,"11,776","147,359","13,772","5,798",676,"20,336",
10/28/2020,02/01/2020,10/24/2020,United States,Female,55-64 years,"9,544","117,504","11,203","4,743",537,"16,471",
10/28/2020,02/01/2020,10/24/2020,United States,Female,65-74 years,"17,798","194,004","19,386","8,591",646,"29,153",
10/28/2020,02/01/2020,10/24/2020,United States,Female,75-84 years,"25,289","270,402","26,167","11,451",750,"40,664",
10/28/2020,02/01/2020,10/24/2020,United States,Female,85 years and over,"39,049","427,362","34,835","14,500",824,"60,113",
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,All Ages,6,91,7,4,1,10,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,Under 1 year,0,22,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,0-17 years,0,23,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,15-24 years,0,3,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,18-29 years,0,2,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,25-34 years,0,2,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,30-49 years,0,8,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,35-44 years,0,5,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,45-54 years,2,4,1,1,0,2,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,50-64 years,2,12,2,1,1,4,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,55-64 years,0,9,1,0,1,2,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,65-74 years,1,10,1,1,0,1,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,75-84 years,1,14,2,1,0,2,
10/28/2020,02/01/2020,10/24/2020,United States,Unknown,85 years and over,2,22,2,1,0,3,
10/28/2020,02/01/2020,10/24/2020,Alabama,All Sexes,All Ages,"3,770","43,368","3,372","1,236",101,"6,002",
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,All Ages,"1,925","22,504","1,804",645,60,"3,141",
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,Under 1 year,,137,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,0-17 years,,272,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,1-4 years,0,28,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,5-14 years,0,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,15-24 years,,370,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,18-29 years,11,596,,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,25-34 years,18,645,19,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,30-49 years,106,"1,978",102,37,,174,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,35-44 years,48,961,56,20,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,45-54 years,127,"1,683",96,33,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,50-64 years,362,"4,872",330,108,21,605,
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,55-64 years,283,"3,847",267,87,16,479,
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,65-74 years,532,"5,410",509,184,17,873,
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,75-84 years,551,"5,516",518,192,,884,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Male,85 years and over,362,"3,860",335,122,,581,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,All Ages,"1,845","20,864","1,568",591,41,"2,861",
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,Under 1 year,0,106,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,0-17 years,0,167,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,1-4 years,0,22,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,5-14 years,0,25,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,15-24 years,,129,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,18-29 years,,213,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,25-34 years,11,287,18,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,30-49 years,76,"1,160",65,21,,125,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,35-44 years,32,527,28,,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,45-54 years,100,"1,134",68,25,,148,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,50-64 years,299,"3,284",294,88,13,517,
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,55-64 years,234,"2,594",249,70,,421,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,65-74 years,402,"4,036",339,141,12,612,
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,75-84 years,484,"5,446",433,169,,755,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Female,85 years and over,580,"6,558",427,170,,839,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,All Sexes,All Ages,55,"3,152",141,29,,173,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,All Ages,34,"1,826",73,13,,97,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,Under 1 year,0,15,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,0-17 years,0,39,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,5-14 years,0,14,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,15-24 years,0,61,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,18-29 years,0,92,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,25-34 years,0,78,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,30-49 years,,204,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,35-44 years,0,107,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,45-54 years,,151,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,50-64 years,,418,16,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,55-64 years,,324,14,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,65-74 years,11,425,16,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,75-84 years,11,409,18,,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Male,85 years and over,,239,14,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,All Ages,21,"1,326",68,16,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,Under 1 year,0,12,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,0-17 years,0,26,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,15-24 years,0,28,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,18-29 years,0,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,25-34 years,,52,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,30-49 years,,134,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,35-44 years,,67,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,45-54 years,,88,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,50-64 years,,234,16,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,55-64 years,,184,12,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,65-74 years,,279,14,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,75-84 years,,274,15,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Female,85 years and over,,335,14,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,All Sexes,All Ages,"5,227","54,344","5,606","2,956",115,"7,992",
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,All Ages,"3,020","29,762","3,203","1,732",61,"4,552",
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,Under 1 year,0,159,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,0-17 years,,358,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,1-4 years,,44,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,5-14 years,,55,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,15-24 years,16,647,14,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,18-29 years,38,"1,064",34,22,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,25-34 years,59,"1,108",46,32,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,30-49 years,251,"2,803",190,129,,315,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,35-44 years,115,"1,333",88,60,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,45-54 years,263,"2,074",211,145,,333,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,50-64 years,684,"5,530",650,402,17,949,
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,55-64 years,521,"4,335",517,309,13,742,
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,65-74 years,723,"6,461",813,447,14,"1,103",
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,75-84 years,780,"7,434",908,458,12,"1,242",
10/28/2020,02/01/2020,10/24/2020,Arizona,Male,85 years and over,539,"6,112",602,272,10,879,
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,All Ages,"2,207","24,582","2,403","1,224",54,"3,440",
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,Under 1 year,0,128,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,0-17 years,0,245,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,1-4 years,0,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,5-14 years,0,43,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,15-24 years,,190,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,18-29 years,16,348,16,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,25-34 years,31,468,30,16,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,30-49 years,140,"1,323",124,80,,191,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,35-44 years,62,609,44,28,,81,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,45-54 years,114,"1,103",122,70,,172,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,50-64 years,361,"3,313",395,207,13,562,
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,55-64 years,304,"2,651",331,176,10,469,
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,65-74 years,483,"4,549",556,296,16,759,
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,75-84 years,578,"6,328",664,336,10,916,
10/28/2020,02/01/2020,10/24/2020,Arizona,Female,85 years and over,629,"8,476",644,297,,984,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,All Sexes,All Ages,"1,622","25,798","2,203",736,79,"3,166",
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,All Ages,870,"13,519","1,191",425,42,"1,677",
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,Under 1 year,0,103,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,0-17 years,0,198,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,1-4 years,0,23,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
