Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
11/02/2020,09/12/2020,09/12/2020,By week,United States,Week-ending,"4,257","56,394",1.09,"4,652","2,142",7,"6,772",
11/02/2020,09/19/2020,09/19/2020,By week,United States,Week-ending,"3,838","55,803",1.08,"4,360","1,852",5,"6,351",
11/02/2020,09/26/2020,09/26/2020,By week,United States,Week-ending,"3,809","56,107",1.08,"4,498","1,887",3,"6,422",
11/02/2020,10/03/2020,10/03/2020,By week,United States,Week-ending,"3,555","53,725",1.02,"4,178","1,691",7,"6,049",
11/02/2020,10/10/2020,10/10/2020,By week,United States,Week-ending,"3,778","52,826",1,"4,229","1,852",11,"6,164",
11/02/2020,10/17/2020,10/17/2020,By week,United States,Week-ending,"3,300","46,155",0.86,"3,665","1,573",12,"5,399",
11/02/2020,10/24/2020,10/24/2020,By week,United States,Week-ending,"1,780","32,392",0.6,"2,252",786,6,"3,251",
11/02/2020,10/31/2020,10/31/2020,By week,United States,Week-ending,166,"7,564",0.14,384,88,2,464,
11/02/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,"1,024",0.94,56,0,14,70,
11/02/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,"1,117",1.01,61,0,10,71,
11/02/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,"1,094",1.01,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,"1,096",1.01,68,0,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,"1,161",1.12,63,0,14,77,
11/02/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,"1,053",1.01,58,0,13,71,
11/02/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,"1,088",1.01,61,0,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,"1,057",1.03,71,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23,"1,072",1.05,68,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49,"1,153",1.12,65,11,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,81,"1,132",1.1,86,27,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89,"1,140",1.16,94,26,0,157,
11/02/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,83,"1,136",1.13,77,19,,142,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,81,"1,146",1.15,87,26,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,115,"1,166",1.16,94,34,,175,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,94,"1,145",1.15,89,30,,154,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/23/2020,05/23/2020,By week,Alabama,Week-ending,79,"1,148",1.17,82,23,0,138,
11/02/2020,05/30/2020,05/30/2020,By week,Alabama,Week-ending,103,"1,103",1.13,95,30,,169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/06/2020,06/06/2020,By week,Alabama,Week-ending,88,"1,164",1.15,87,32,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/13/2020,06/13/2020,By week,Alabama,Week-ending,81,"1,132",1.19,75,29,0,127,
11/02/2020,06/20/2020,06/20/2020,By week,Alabama,Week-ending,88,"1,082",1.11,78,25,0,141,
11/02/2020,06/27/2020,06/27/2020,By week,Alabama,Week-ending,102,"1,143",1.23,82,30,0,154,
11/02/2020,07/04/2020,07/04/2020,By week,Alabama,Week-ending,120,"1,195",1.21,92,47,,165,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/11/2020,07/11/2020,By week,Alabama,Week-ending,133,"1,249",1.26,94,36,0,191,
11/02/2020,07/18/2020,07/18/2020,By week,Alabama,Week-ending,189,"1,279",1.33,101,45,0,245,
11/02/2020,07/25/2020,07/25/2020,By week,Alabama,Week-ending,246,"1,321",1.42,133,87,0,292,
11/02/2020,08/01/2020,08/01/2020,By week,Alabama,Week-ending,261,"1,348",1.4,156,94,,324,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,Alabama,Week-ending,259,"1,352",1.4,131,85,,306,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Alabama,Week-ending,226,"1,276",1.34,139,82,0,283,
11/02/2020,08/22/2020,08/22/2020,By week,Alabama,Week-ending,206,"1,272",1.36,116,63,0,259,
11/02/2020,08/29/2020,08/29/2020,By week,Alabama,Week-ending,180,"1,187",1.24,128,70,0,238,
11/02/2020,09/05/2020,09/05/2020,By week,Alabama,Week-ending,152,"1,177",1.21,109,58,0,203,
11/02/2020,09/12/2020,09/12/2020,By week,Alabama,Week-ending,132,"1,195",1.24,104,48,0,188,
11/02/2020,09/19/2020,09/19/2020,By week,Alabama,Week-ending,131,"1,135",1.18,96,45,0,182,
11/02/2020,09/26/2020,09/26/2020,By week,Alabama,Week-ending,97,"1,096",1.1,72,29,0,140,
11/02/2020,10/03/2020,10/03/2020,By week,Alabama,Week-ending,101,990,1.04,85,33,0,153,
11/02/2020,10/10/2020,10/10/2020,By week,Alabama,Week-ending,106,993,1.05,84,39,,152,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/17/2020,10/17/2020,By week,Alabama,Week-ending,78,841,0.86,65,28,0,115,
11/02/2020,10/24/2020,10/24/2020,By week,Alabama,Week-ending,34,446,0.46,41,,0,66,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/31/2020,10/31/2020,By week,Alabama,Week-ending,,74,0.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,85,0.95,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,89,1.02,0,0,0,0,
11/02/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,84,1,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,79,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,92,1.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,69,0.87,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,85,0.99,10,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,98,1.13,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,83,0.96,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,80,1.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,61,0.78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,86,0.97,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,,89,1.14,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/16/2020,05/16/2020,By week,Alaska,Week-ending,0,83,1.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/23/2020,05/23/2020,By week,Alaska,Week-ending,0,82,1.06,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/30/2020,05/30/2020,By week,Alaska,Week-ending,0,97,1.34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/06/2020,06/06/2020,By week,Alaska,Week-ending,0,78,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/13/2020,06/13/2020,By week,Alaska,Week-ending,,88,1.07,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/20/2020,06/20/2020,By week,Alaska,Week-ending,0,91,1.07,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/27/2020,06/27/2020,By week,Alaska,Week-ending,0,88,1.14,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Alaska,Week-ending,,83,0.99,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/11/2020,07/11/2020,By week,Alaska,Week-ending,,100,1.13,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/18/2020,07/18/2020,By week,Alaska,Week-ending,,87,1.15,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,Alaska,Week-ending,,91,1.27,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/01/2020,08/01/2020,By week,Alaska,Week-ending,,112,1.48,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/08/2020,08/08/2020,By week,Alaska,Week-ending,,98,1.25,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Alaska,Week-ending,,70,0.77,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/22/2020,08/22/2020,By week,Alaska,Week-ending,,108,1.28,,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/29/2020,08/29/2020,By week,Alaska,Week-ending,,86,1.08,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/05/2020,09/05/2020,By week,Alaska,Week-ending,,90,1.11,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/12/2020,09/12/2020,By week,Alaska,Week-ending,,69,0.87,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/19/2020,09/19/2020,By week,Alaska,Week-ending,,89,1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,09/26/2020,09/26/2020,By week,Alaska,Week-ending,,86,0.93,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/03/2020,10/03/2020,By week,Alaska,Week-ending,,51,0.58,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/10/2020,10/10/2020,By week,Alaska,Week-ending,,66,0.78,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/17/2020,10/17/2020,By week,Alaska,Week-ending,,61,0.72,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/24/2020,10/24/2020,By week,Alaska,Week-ending,,23,0.27,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,10/31/2020,10/31/2020,By week,Alaska,Week-ending,0,,0.03,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,"1,265",0.99,74,0,13,87,
11/02/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,"1,263",1.02,79,0,11,90,
11/02/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,"1,311",1.11,92,0,14,106,
11/02/2020,02/22/2020,02/22/2020,By week,Arizona,Week-ending,0,"1,341",1.11,80,0,11,91,
11/02/2020,02/29/2020,02/29/2020,By week,Arizona,Week-ending,0,"1,352",1.1,80,0,15,95,
11/02/2020,03/07/2020,03/07/2020,By week,Arizona,Week-ending,0,"1,380",1.12,77,0,14,91,
11/02/2020,03/14/2020,03/14/2020,By week,Arizona,Week-ending,0,"1,348",1.1,82,0,11,93,
11/02/2020,03/21/2020,03/21/2020,By week,Arizona,Week-ending,,"1,290",1.07,102,,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/28/2020,03/28/2020,By week,Arizona,Week-ending,31,"1,323",1.11,117,19,,134,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Arizona,Week-ending,58,"1,356",1.11,124,32,,154,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Arizona,Week-ending,91,"1,403",1.15,149,52,,192,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Arizona,Week-ending,96,"1,316",1.14,117,43,,171,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Arizona,Week-ending,106,"1,383",1.19,120,42,,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Arizona,Week-ending,104,"1,398",1.2,124,47,0,181,
11/02/2020,05/09/2020,05/09/2020,By week,Arizona,Week-ending,127,"1,427",1.24,138,71,0,194,
11/02/2020,05/16/2020,05/16/2020,By week,Arizona,Week-ending,118,"1,306",1.21,128,69,0,177,
11/02/2020,05/23/2020,05/23/2020,By week,Arizona,Week-ending,96,"1,289",1.19,116,52,0,160,
11/02/2020,05/30/2020,05/30/2020,By week,Arizona,Week-ending,113,"1,310",1.17,120,50,,184,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/06/2020,06/06/2020,By week,Arizona,Week-ending,132,"1,398",1.27,137,72,0,197,
11/02/2020,06/13/2020,06/13/2020,By week,Arizona,Week-ending,172,"1,463",1.3,158,99,0,231,
11/02/2020,06/20/2020,06/20/2020,By week,Arizona,Week-ending,206,"1,547",1.44,169,108,,268,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,06/27/2020,06/27/2020,By week,Arizona,Week-ending,256,"1,616",1.45,200,137,,320,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/04/2020,07/04/2020,By week,Arizona,Week-ending,383,"1,772",1.59,275,210,0,448,
11/02/2020,07/11/2020,07/11/2020,By week,Arizona,Week-ending,501,"1,951",1.79,411,310,0,602,
11/02/2020,07/18/2020,07/18/2020,By week,Arizona,Week-ending,543,"1,990",1.79,410,339,0,614,
11/02/2020,07/25/2020,07/25/2020,By week,Arizona,Week-ending,469,"1,854",1.76,344,282,0,531,
11/02/2020,08/01/2020,08/01/2020,By week,Arizona,Week-ending,388,"1,787",1.66,287,222,0,453,
11/02/2020,08/08/2020,08/08/2020,By week,Arizona,Week-ending,304,"1,583",1.49,230,181,,354,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Arizona,Week-ending,248,"1,524",1.49,206,145,0,309,
11/02/2020,08/22/2020,08/22/2020,By week,Arizona,Week-ending,172,"1,499",1.43,144,91,0,225,
11/02/2020,08/29/2020,08/29/2020,By week,Arizona,Week-ending,126,"1,458",1.34,124,70,0,180,
11/02/2020,09/05/2020,09/05/2020,By week,Arizona,Week-ending,92,"1,283",1.17,121,59,0,154,
11/02/2020,09/12/2020,09/12/2020,By week,Arizona,Week-ending,60,"1,267",1.2,87,36,0,111,
11/02/2020,09/19/2020,09/19/2020,By week,Arizona,Week-ending,65,"1,246",1.18,72,29,0,108,
11/02/2020,09/26/2020,09/26/2020,By week,Arizona,Week-ending,54,"1,267",1.17,77,26,0,105,
11/02/2020,10/03/2020,10/03/2020,By week,Arizona,Week-ending,35,"1,172",1.11,81,18,0,98,
11/02/2020,10/10/2020,10/10/2020,By week,Arizona,Week-ending,48,"1,206",1.13,76,26,0,98,
11/02/2020,10/17/2020,10/17/2020,By week,Arizona,Week-ending,38,"1,133",1.03,72,21,0,89,
11/02/2020,10/24/2020,10/24/2020,By week,Arizona,Week-ending,33,956,0.92,57,16,0,74,
11/02/2020,10/31/2020,10/31/2020,By week,Arizona,Week-ending,,280,0.26,14,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/01/2020,02/01/2020,By week,Arkansas,Week-ending,0,681,1.05,56,0,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/08/2020,02/08/2020,By week,Arkansas,Week-ending,0,672,1.02,50,0,,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/15/2020,02/15/2020,By week,Arkansas,Week-ending,0,688,1.02,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,02/22/2020,02/22/2020,By week,Arkansas,Week-ending,0,695,1.02,53,0,12,65,
11/02/2020,02/29/2020,02/29/2020,By week,Arkansas,Week-ending,0,656,1.03,32,0,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/07/2020,03/07/2020,By week,Arkansas,Week-ending,0,696,1.06,42,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/14/2020,03/14/2020,By week,Arkansas,Week-ending,0,628,0.98,37,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,03/21/2020,03/21/2020,By week,Arkansas,Week-ending,0,637,1.01,54,0,11,65,
11/02/2020,03/28/2020,03/28/2020,By week,Arkansas,Week-ending,,640,1.01,41,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/04/2020,04/04/2020,By week,Arkansas,Week-ending,11,606,0.99,52,,0,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/11/2020,04/11/2020,By week,Arkansas,Week-ending,14,635,1,59,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/18/2020,04/18/2020,By week,Arkansas,Week-ending,12,635,1.09,49,,0,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,04/25/2020,04/25/2020,By week,Arkansas,Week-ending,14,614,1.04,46,,0,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/02/2020,05/02/2020,By week,Arkansas,Week-ending,22,630,1.05,40,,0,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/09/2020,05/09/2020,By week,Arkansas,Week-ending,24,661,1.11,45,,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/16/2020,05/16/2020,By week,Arkansas,Week-ending,,582,0.98,34,,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/23/2020,05/23/2020,By week,Arkansas,Week-ending,20,642,1.08,43,,0,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,05/30/2020,05/30/2020,By week,Arkansas,Week-ending,19,610,1.05,37,12,0,44,
11/02/2020,06/06/2020,06/06/2020,By week,Arkansas,Week-ending,26,647,1.13,40,12,0,54,
11/02/2020,06/13/2020,06/13/2020,By week,Arkansas,Week-ending,34,651,1.06,50,17,0,67,
11/02/2020,06/20/2020,06/20/2020,By week,Arkansas,Week-ending,46,704,1.24,46,16,0,76,
11/02/2020,06/27/2020,06/27/2020,By week,Arkansas,Week-ending,46,663,1.16,54,21,0,79,
11/02/2020,07/04/2020,07/04/2020,By week,Arkansas,Week-ending,40,685,1.17,45,17,0,68,
11/02/2020,07/11/2020,07/11/2020,By week,Arkansas,Week-ending,47,660,1.13,53,23,0,77,
11/02/2020,07/18/2020,07/18/2020,By week,Arkansas,Week-ending,57,694,1.2,58,25,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,07/25/2020,07/25/2020,By week,Arkansas,Week-ending,73,711,1.29,72,35,0,110,
11/02/2020,08/01/2020,08/01/2020,By week,Arkansas,Week-ending,85,739,1.36,82,42,0,125,
11/02/2020,08/08/2020,08/08/2020,By week,Arkansas,Week-ending,89,731,1.26,79,41,,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
11/02/2020,08/15/2020,08/15/2020,By week,Arkansas,Week-ending,88,762,1.34,78,33,0,133,
11/02/2020,08/22/2020,08/22/2020,By week,Arkansas,Week-ending,97,744,1.31,92,49,0,140,
11/02/2020,08/29/2020,08/29/2020,By week,Arkansas,Week-ending,94,736,1.32,83,42,0,135,
